Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Kennen,"925,166",2.91:1,0.5181,0.0396,0,36.95,"13,711"
Shyvana,"889,933",2.96:1,0.5001,0.038,0,47.6,"13,905"
Volibear,"871,213",2.83:1,0.501,0.0372,0,32.02,"13,071"
K'Sante,"851,888",2.9:1,0.4895,0.0364,0,39.29,"13,086"
Ornn,"847,222",3.14:1,0.5027,0.0362,0,30.49,"12,821"
Shen,"845,884",3.64:1,0.52,0.0362,0,23.33,"13,114"
Kassadin,"845,672",2.68:1,0.475,0.0362,0,34.74,"14,080"
Cassiopeia,"842,987",3.28:1,0.4889,0.036,0,49.83,"14,096"
Rengar,"832,076",2.31:1,0.4682,0.0356,0,31.04,"14,746"
Renata Glasc,"830,544",4.39:1,0.5181,0.0355,0,18.74,"12,240"
Poppy,"826,914",3.06:1,0.5208,0.0354,0,25.71,"13,111"
Kalista,"811,699",3.11:1,0.4844,0.0347,0,69.74,"14,791"
Naafiri,"798,083",2.41:1,0.4359,0.0341,0,44.87,"14,395"
Gnar,"792,396",2.94:1,0.4862,0.0339,0,42.31,"13,686"
Bel'Veth,"788,833",2.54:1,0.4678,0.0337,0,48.9,"14,034"
Qiyana,"770,316",2.59:1,0.4325,0.0329,0,31.75,"14,411"
Zac,"764,376",3.05:1,0.5079,0.0327,0,24.36,"12,780"
Sejuani,"756,768",3.2:1,0.5079,0.0324,0,31.38,"13,037"
Gwen,"751,176",2.7:1,0.5025,0.0321,0,39.91,"13,689"
Milio,"746,275",6.18:1,0.5248,0.0319,0,17.38,"11,906"
Urgot,"740,553",2.75:1,0.5122,0.0317,0,63.94,"14,079"
Rakan,"739,704",4.22:1,0.5123,0.0316,0,12.71,"11,739"
Nocturne,"730,562",2.65:1,0.4922,0.0312,0,36.69,"14,381"
Rammus,"705,548",2.76:1,0.5189,0.0302,0,23.64,"12,510"
Xin Zhao,"689,785",2.43:1,0.4976,0.0295,0,35.87,"14,259"
Elise,"625,862",3.26:1,0.5065,0.0268,0,30.96,"13,849"
Nilah,"622,791",2.63:1,0.4961,0.0266,0,69.67,"14,536"
Evelynn,"600,046",3.09:1,0.4616,0.0257,0,20.95,"13,943"
Camille,"573,347",2.52:1,0.4985,0.0245,0,30.15,"13,564"
Briar,"560,702",2.07:1,0.3961,0.0366,0,31.47,"12,860"
Trundle,"557,462",3.16:1,0.5065,0.0238,0,32.34,"12,924"
Hecarim,"550,888",2.6:1,0.4401,0.0236,0,35.78,"13,597"
Udyr,"533,642",2.78:1,0.5051,0.0228,0,32,"13,111"
Taric,"506,283",4.15:1,0.5178,0.0216,0,21.18,"12,037"
Ivern,"490,344",4.75:1,0.5207,0.021,0,12.5,"11,688"
Rell,"444,224",3.67:1,0.5033,0.019,0,15.03,"12,124"
Olaf,"430,800",2.6:1,0.5141,0.0184,0,48.45,"14,035"
Yorick,"342,541",2.95:1,0.5157,0.0146,0,58.02,"13,135"
Skarner,"303,198",3.12:1,0.5265,0.013,0,26.59,"12,896"
Rek'Sai,"295,775",2.77:1,0.4954,0.0126,0,23.28,"14,028"
Kled,"262,592",3.25:1,0.493,0.0112,0,36.07,"13,469"
